               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 119,             0.82545,              1.1334,              1.2914,             0.85329,             0.86295,             0.90677,             0.82619,             0.48115,             0.71093,              1.1756,            0.006106,            0.006106,            0.006106
                 120,              0.7764,               1.091,              1.2832,             0.89427,             0.86758,              0.9163,             0.83464,             0.48283,             0.69093,              1.1776,            0.006073,            0.006073,            0.006073
                 121,             0.77312,              1.1034,              1.2866,             0.89955,             0.86058,             0.91552,              0.8355,             0.47912,             0.68577,              1.1695,             0.00604,             0.00604,             0.00604
                 122,             0.77299,              1.0962,              1.2939,             0.89764,              0.8509,             0.90924,             0.82411,             0.48743,             0.69138,              1.1763,            0.006007,            0.006007,            0.006007
                 123,             0.78129,              1.0808,              1.2833,              0.8544,              0.8879,             0.91324,             0.82985,             0.47597,             0.71391,              1.1699,            0.005974,            0.005974,            0.005974
                 124,             0.78091,              1.1052,              1.2818,             0.87543,             0.84199,             0.90266,             0.82476,             0.48063,             0.71459,              1.1745,            0.005941,            0.005941,            0.005941
                 125,             0.78753,              1.0895,              1.2906,             0.87356,             0.86245,             0.90928,             0.82503,              0.4767,             0.71468,              1.1743,            0.005908,            0.005908,            0.005908
                 126,             0.79797,              1.1225,              1.2996,             0.87506,             0.85694,             0.90956,             0.82941,             0.46666,             0.73279,               1.158,            0.005875,            0.005875,            0.005875
                 127,             0.80444,              1.1284,              1.3076,             0.87342,             0.87565,             0.91522,             0.83627,             0.46766,             0.68245,              1.1581,            0.005842,            0.005842,            0.005842
                 128,             0.75547,              1.0816,              1.2681,             0.86958,             0.86754,             0.91633,             0.83444,             0.46533,             0.66367,               1.155,            0.005809,            0.005809,            0.005809
                 129,             0.78411,              1.0753,              1.2604,             0.91046,             0.83763,             0.92775,             0.84845,             0.45255,             0.67648,              1.1475,            0.005776,            0.005776,            0.005776
                 130,             0.77274,              1.0993,              1.2729,             0.84418,             0.90079,             0.92212,             0.83713,             0.46734,             0.69448,               1.165,            0.005743,            0.005743,            0.005743
                 131,             0.75307,              1.0214,              1.2699,             0.90395,             0.87118,             0.92167,             0.83643,             0.47377,             0.69637,              1.1686,             0.00571,             0.00571,             0.00571
                 132,             0.74272,              1.0444,              1.2751,             0.86095,             0.86865,             0.91229,             0.83415,             0.45646,             0.69198,              1.1484,            0.005677,            0.005677,            0.005677
                 133,             0.76335,              1.0512,              1.2687,             0.89647,             0.86296,              0.9103,             0.82825,              0.4619,             0.66867,              1.1589,            0.005644,            0.005644,            0.005644
                 134,              0.7509,              1.0415,              1.2635,             0.89184,             0.88402,             0.92581,             0.85046,             0.45568,             0.67913,              1.1564,            0.005611,            0.005611,            0.005611
                 135,             0.76345,              1.0495,              1.2632,             0.85672,             0.87452,             0.92071,               0.841,             0.45623,             0.71225,              1.1515,            0.005578,            0.005578,            0.005578
                 136,             0.75456,              1.0365,                1.28,             0.89883,             0.87525,             0.91694,             0.83111,             0.46338,             0.66771,              1.1582,            0.005545,            0.005545,            0.005545
                 137,             0.76703,              1.0142,              1.2631,             0.88672,             0.88083,             0.92812,             0.82929,             0.46404,             0.66475,              1.1632,            0.005512,            0.005512,            0.005512
                 138,             0.75919,               1.064,              1.2674,             0.87214,             0.88187,             0.93734,             0.84853,              0.4633,             0.63479,              1.1657,            0.005479,            0.005479,            0.005479
                 139,             0.74207,              1.0001,              1.2548,             0.86872,             0.90044,             0.93451,             0.84594,             0.45467,             0.64249,              1.1552,            0.005446,            0.005446,            0.005446
                 140,              0.7457,              1.0331,              1.2551,             0.90102,             0.85012,             0.91698,             0.82859,             0.45531,             0.64524,              1.1513,            0.005413,            0.005413,            0.005413
                 141,             0.74524,               1.063,              1.2577,              0.8772,              0.8916,             0.93224,             0.84305,             0.46443,             0.62116,              1.1644,             0.00538,             0.00538,             0.00538
                 142,             0.74265,              1.0385,              1.2621,             0.87783,             0.87096,              0.9276,             0.83969,             0.46891,             0.64772,              1.1677,            0.005347,            0.005347,            0.005347
                 143,             0.72638,               1.004,                1.25,             0.86993,             0.85293,             0.91599,             0.83535,             0.44447,             0.66644,              1.1419,            0.005314,            0.005314,            0.005314
                 144,             0.73217,             0.98101,              1.2487,             0.87413,             0.88516,             0.91844,             0.84156,             0.44189,             0.62765,              1.1421,            0.005281,            0.005281,            0.005281
                 145,             0.74591,              1.0026,              1.2626,             0.89689,             0.85165,             0.92662,              0.8509,             0.46021,              0.6426,              1.1553,            0.005248,            0.005248,            0.005248
                 146,             0.72418,              1.0051,              1.2472,             0.85444,             0.89209,             0.92874,             0.85251,             0.44128,             0.62352,              1.1394,            0.005215,            0.005215,            0.005215
                 147,             0.72082,             0.99488,              1.2519,             0.90225,             0.88258,             0.93098,             0.86178,             0.43904,             0.61057,              1.1358,            0.005182,            0.005182,            0.005182
                 148,              0.7026,             0.95401,              1.2377,             0.89797,             0.89816,             0.93467,             0.85374,             0.44489,             0.61799,              1.1396,            0.005149,            0.005149,            0.005149
                 149,             0.71049,              0.9777,              1.2305,             0.89149,             0.90237,             0.93309,             0.85374,             0.46089,             0.65135,               1.152,            0.005116,            0.005116,            0.005116
                 150,             0.72208,             0.97447,              1.2496,             0.87354,             0.89837,             0.92586,             0.84802,             0.44874,             0.64792,              1.1476,            0.005083,            0.005083,            0.005083
                 151,              0.7145,             0.96947,              1.2483,             0.88787,             0.87347,             0.92302,             0.84879,             0.44754,             0.63586,              1.1503,             0.00505,             0.00505,             0.00505
                 152,             0.74188,             0.97049,              1.2383,             0.90638,             0.85549,             0.93664,             0.85523,              0.4473,             0.63594,              1.1421,            0.005017,            0.005017,            0.005017
                 153,             0.74344,             0.96793,              1.2404,             0.89485,             0.87853,             0.93246,             0.85004,               0.449,             0.59237,              1.1478,            0.004984,            0.004984,            0.004984
                 154,             0.72781,             0.98097,              1.2439,             0.88497,             0.87534,             0.93873,             0.86234,             0.44469,             0.60685,              1.1468,            0.004951,            0.004951,            0.004951
                 155,             0.71389,             0.93921,              1.2366,             0.90634,             0.87027,             0.92293,             0.84907,             0.44065,             0.68056,              1.1464,            0.004918,            0.004918,            0.004918
                 156,             0.72732,             0.97907,              1.2457,             0.90159,             0.87931,             0.92584,             0.85653,             0.43631,             0.59908,              1.1434,            0.004885,            0.004885,            0.004885
                 157,             0.71005,             0.96857,              1.2404,              0.8922,             0.90806,             0.92728,             0.84837,             0.43062,             0.60024,              1.1324,            0.004852,            0.004852,            0.004852
                 158,              0.6951,             0.97348,              1.2335,             0.91204,             0.87347,             0.94235,             0.86983,             0.42056,             0.59012,              1.1228,            0.004819,            0.004819,            0.004819
                 159,             0.70912,             0.94806,              1.2341,              0.9138,             0.89155,             0.92393,             0.85468,             0.42775,             0.60514,              1.1268,            0.004786,            0.004786,            0.004786
                 160,             0.71014,             0.93242,               1.227,             0.90488,              0.8836,             0.92961,             0.85838,             0.42427,             0.60395,              1.1297,            0.004753,            0.004753,            0.004753
                 161,             0.70511,             0.92739,              1.2411,             0.87058,             0.89769,             0.92877,             0.85337,             0.42492,             0.60854,              1.1346,             0.00472,             0.00472,             0.00472
                 162,             0.71684,             0.95718,              1.2419,             0.90209,             0.86148,             0.93307,             0.86636,             0.41892,             0.59557,              1.1289,            0.004687,            0.004687,            0.004687
                 163,             0.69416,             0.93495,              1.2396,             0.89542,             0.90909,             0.94493,             0.87447,             0.41813,             0.58119,              1.1306,            0.004654,            0.004654,            0.004654
                 164,             0.70452,              0.9704,              1.2366,              0.8887,             0.91194,             0.93321,             0.85842,             0.43065,             0.57865,              1.1364,            0.004621,            0.004621,            0.004621
